Date,Price,Open,High,Low,Vol.,Change %,,Rolling average
27-01-2023,99.37,97.31,100.32,97.31,33.88M,1.90%,,
30-01-2023,96.94,97.48,98.29,96.39,27.23M,-2.45%,,
31-01-2023,98.84,96.87,98.88,96.82,29.87M,1.96%,,
01-02-2023,100.43,98.71,101.19,97.58,35.53M,1.61%,,
02-02-2023,107.74,105.8,107.85,105.61,69.88M,7.28%,,
03-02-2023,104.78,102.93,107.81,102.58,65.31M,-2.75%,,
06-02-2023,102.9,102.4,104.36,101.88,32.00M,-1.79%,,0.82%
07-02-2023,107.64,103.22,108.18,103.12,49.01M,4.61%,,1.21%
08-02-2023,99.37,102.05,103.14,98.04,94.74M,-7.68%,,0.46%
09-02-2023,95.01,100,100.03,93.63,119.46M,-4.39%,,-0.44%
10-02-2023,94.57,95.45,96.75,94.25,54.98M,-0.46%,,-0.74%
13-02-2023,94.61,94.74,95.2,93.84,50.08M,0.04%,,-1.77%
14-02-2023,94.68,94.43,94.85,92.26,54.73M,0.07%,,-1.37%
15-02-2023,96.94,94.49,97.12,94.15,50.30M,2.39%,,-0.77%
16-02-2023,95.51,95.37,97.68,94.74,42.46M,-1.48%,,-1.64%
17-02-2023,94.35,94.85,95.56,93.21,34.28M,-1.21%,,-0.72%
21-02-2023,91.79,93,93.1,91.72,33.63M,-2.71%,,-0.48%
22-02-2023,91.65,91.7,92.11,90.61,30.88M,-0.15%,,-0.44%
23-02-2023,90.89,91.92,91.94,89.76,41.21M,-0.83%,,-0.56%
24-02-2023,89.13,89.44,89.89,88.57,36.59M,-1.94%,,-0.85%
27-02-2023,89.87,89.87,90.16,89.33,27.50M,0.83%,,-1.07%
28-02-2023,90.06,89.33,91.23,89.32,30.14M,0.21%,,-0.83%
01-03-2023,90.36,89.98,91.03,89.67,31.11M,0.33%,,-0.61%
02-03-2023,92,89.66,92.28,89.59,32.23M,1.81%,,0.04%
03-03-2023,93.65,92.48,93.73,92.45,35.16M,1.79%,,0.31%
06-03-2023,95.13,94.01,95.97,94,32.64M,1.58%,,0.66%
07-03-2023,93.86,94.98,95.67,93.53,27.84M,-1.34%,,0.74%
08-03-2023,94.25,94.12,95.96,94,34.10M,0.42%,,0.69%
09-03-2023,92.32,94.05,95.53,91.9,28.81M,-2.05%,,0.36%
10-03-2023,90.63,92.17,92.79,90.39,35.94M,-1.83%,,0.05%
13-03-2023,91.11,90.09,92.57,89.42,37.34M,0.53%,,-0.13%
14-03-2023,93.97,92.56,94.36,92.44,36.05M,3.14%,,0.06%
15-03-2023,96.11,93.22,96.93,92.64,50.62M,2.28%,,0.16%
16-03-2023,100.32,96.2,101.19,95.5,65.57M,4.38%,,0.98%
17-03-2023,101.62,100.26,102.83,100.1,61.03M,1.30%,,1.11%
20-03-2023,101.22,100.12,101.75,99.87,32.96M,-0.39%,,1.34%
21-03-2023,104.92,101.25,105.1,101.22,42.11M,3.66%,,2.13%
22-03-2023,103.37,104.27,106.59,103.33,43.43M,-1.48%,,1.84%
23-03-2023,105.6,105.06,106.3,104.46,40.80M,2.16%,,1.70%
24-03-2023,105.44,104.99,105.49,103.84,30.41M,-0.15%,,1.35%
27-03-2023,102.46,104.61,104.76,101.93,31.12M,-2.83%,,0.32%
28-03-2023,101.03,102.44,102.45,99.74,32.06M,-1.40%,,-0.06%
29-03-2023,101.39,102.28,102.49,100.65,28.78M,0.36%,,0.05%
30-03-2023,100.89,100.91,101.15,99.78,33.09M,-0.49%,,-0.55%
31-03-2023,103.73,101.3,103.89,101.04,36.86M,2.81%,,0.07%
03-04-2023,104.36,102.39,104.53,101.93,25.04M,0.61%,,-0.16%
04-04-2023,104.72,104.33,105.58,104.04,24.42M,0.34%,,-0.09%
05-04-2023,104.47,105.78,106.1,103.66,28.29M,-0.24%,,0.28%
06-04-2023,108.42,105.26,109.17,104.33,48.71M,3.78%,,1.02%
10-04-2023,106.44,106.98,107.59,105.12,27.07M,-1.83%,,0.71%
11-04-2023,105.35,106.55,106.73,104.68,26.31M,-1.02%,,0.64%
12-04-2023,104.64,106.58,106.75,104.34,24.37M,-0.67%,,0.14%
13-04-2023,107.43,105.84,107.49,105.84,24.84M,2.67%,,0.43%
