Date,Price,Open,High,Low,Vol.,Change %,,Rolling Change
13-01-2023,"28,933.75","28,717.00","29,060.95","28,292.30",34.57M,0.74%,,
16-01-2023,"29,264.65","29,037.05","29,327.90","28,895.40",30.08M,1.14%,,
17-01-2023,"29,498.00","29,291.15","29,518.85","29,259.10",22.52M,0.80%,,
18-01-2023,"29,617.80","29,580.25","29,715.80","29,541.95",25.50M,0.41%,,
19-01-2023,"29,632.35","29,487.50","29,714.95","29,396.05",19.68M,0.05%,,
20-01-2023,"29,529.65","29,574.45","29,783.80","29,479.70",24.01M,-0.35%,,
23-01-2023,"30,086.00","29,620.25","30,124.05","29,505.50",18.27M,1.88%,,
24-01-2023,"30,316.90","30,220.50","30,499.75","30,151.55",23.08M,0.77%,,
25-01-2023,"30,043.90","30,208.10","30,231.40","30,004.75",13.98M,-0.90%,,0.38%
27-01-2023,"29,766.45","30,052.70","30,234.35","29,542.45",19.82M,-0.92%,,0.13%
30-01-2023,"30,094.85","29,842.70","30,224.50","29,606.35",21.24M,1.10%,,0.23%
31-01-2023,"29,740.35","30,163.20","30,172.75","29,556.30",29.50M,-1.18%,,0.06%
01-02-2023,"30,018.25","29,885.95","30,083.40","29,659.00",17.62M,0.93%,,0.24%
02-02-2023,"30,566.75","30,124.90","30,610.10","30,107.10",23.85M,1.83%,,0.23%
03-02-2023,"30,597.65","30,839.05","30,849.60","30,417.90",19.99M,0.10%,,0.14%
06-02-2023,"30,411.10","30,502.90","30,534.70","30,186.70",14.21M,-0.61%,,0.18%
07-02-2023,"30,310.70","30,429.75","30,544.10","30,250.75",13.68M,-0.33%,,0.26%
08-02-2023,"30,774.05","30,415.60","30,938.40","30,415.60",21.88M,1.53%,,0.32%
09-02-2023,"30,990.85","30,769.80","31,012.95","30,665.45",15.94M,0.70%,,0.59%
10-02-2023,"30,870.20","30,839.25","30,900.15","30,636.40",13.83M,-0.39%,,0.40%
13-02-2023,"30,289.65","30,790.20","30,792.85","30,238.05",20.44M,-1.88%,,-0.13%
14-02-2023,"30,588.75","30,481.50","30,759.45","30,457.40",16.95M,0.99%,,0.00%
15-02-2023,"30,934.35","30,512.00","30,959.30","30,324.20",17.29M,1.13%,,0.25%
16-02-2023,"31,434.85","31,042.30","31,587.35","31,024.15",32.19M,1.62%,,0.53%
17-02-2023,"31,054.85","31,147.10","31,218.25","30,963.05",15.80M,-1.21%,,0.14%
20-02-2023,"31,222.35","31,056.05","31,405.30","30,961.95",15.92M,0.54%,,0.11%
21-02-2023,"30,947.25","31,318.35","31,393.00","30,911.05",13.38M,-0.88%,,0.04%
22-02-2023,"30,608.20","30,621.10","30,815.90","30,503.35",14.86M,-1.10%,,0.16%
23-02-2023,"30,598.40","30,759.60","30,899.40","30,497.55",15.71M,-0.03%,,0.01%
24-02-2023,"30,514.90","30,732.45","30,859.70","30,445.90",11.33M,-0.27%,,-0.19%
27-02-2023,"29,919.20","30,338.70","30,345.50","29,667.10",15.68M,-1.95%,,-0.70%
28-02-2023,"29,663.95","29,986.20","30,294.45","29,608.95",46.22M,-0.85%,,-0.65%
01-03-2023,"30,097.75","29,722.15","30,121.65","29,712.80",14.06M,1.46%,,-0.52%
02-03-2023,"29,717.45","29,883.10","29,936.40","29,618.60",15.78M,-1.26%,,-0.57%
03-03-2023,"29,817.05","29,968.75","29,988.55","29,774.05",14.85M,0.34%,,-0.37%
06-03-2023,"30,179.75","30,048.70","30,340.95","30,032.05",18.99M,1.22%,,-0.19%
08-03-2023,"30,065.75","29,944.20","30,096.70","29,729.25",14.98M,-0.38%,,-0.20%
09-03-2023,"29,742.35","30,090.25","30,096.60","29,712.00",14.01M,-1.08%,,-0.08%
10-03-2023,"29,545.50","29,418.60","29,584.45","29,324.00",11.30M,-0.66%,,-0.05%
13-03-2023,"29,267.00","29,695.00","30,051.60","29,187.10",31.23M,-0.94%,,-0.39%
14-03-2023,"28,784.70","29,281.25","29,402.25","28,638.90",25.46M,-1.65%,,-0.45%
15-03-2023,"28,716.50","29,080.35","29,179.50","28,689.40",19.13M,-0.24%,,-0.53%
16-03-2023,"28,517.25","28,694.30","28,746.35","28,400.35",18.82M,-0.69%,,-0.81%
17-03-2023,"28,854.45","28,737.70","29,120.75","28,721.10",31.80M,1.18%,,-0.58%
20-03-2023,"28,442.95","28,732.85","28,744.30","28,209.05",22.36M,-1.43%,,-0.63%
